id,name,RF reference,LL reference,related locations,notes,possible co-ordinates
1,St. Michael’s Rieti,,,,,
2,Sancti Stephanus in Carsule,15,,,,
3,Santa Maria  in Copesseta ,18,,,sub cell of Farfa?,
4,Sancti Benedicti in  Massa Ciculani,,"1,2",32,,
5,Sancti Benedicti in fundo Stationi,,3,,,
6,Sancti Donatus in Massa Turana,,5,8,,
7,Sancti Iohannis in Offiano,,5,9,,
8,"Sanctum Angelum in Mollecto, ",,5,8,,
9,Santi Iuvenalis in Fundo Maliano,29,7,11,Two separate mentions of fundus mallianum is it a separate place or two churches in same fundum acquired at different times?  (possible reference to this church in RF 153 INVESTIGATE AND TRANSCRIBE),
10,Sancti Iustini in Notona,,8,,,
11,Sancti Gregorii in Furcone,,10,14,,
12,Sanctum Heliam,,10,, positioned next to the episcopal land of Sancti Maximini,
13,cella Sancti Emigdii in Furcone,,"10,11",,,
14,Sancte Marie de Corneto,,"14,27,26","8,31,40,41",,
15,Sanctum Agapitum,,15,,,
15,Monasterii Valleriano,,15,,,
15,Sancti Nazarii. (in massa Interocini,,,"19,22",,
16, Sancti Petri in Carsule,,25,,noted as belonging to Farfa. see also LL 130 for further reference,
17,sancti petri in monte cacunus,,,"8,27",referenced  in charter discussing galdus of sancta Petri,
18,sancti laurentii in Fundum calistrianum,29,,,,
19,sancti paterniani in Fundum arianum,29,,33,,
20,sancti Angeli in mutellae,29,,34,,
21,sancti ulti in Sagi,29,,,"Fundum urbanam qui et uicus sagi uocatur, in quo est aecclesia sancti ulti cum pratis’ ??",
22,Sancti Ualentini in fundo adriano ,29,,,INVESTIGATE FURTHER,
23,Sancti Felicis in fundo anelano ,29,,,INVESTIGATE FURTHER,
24,sancti donati in Fundum cicilimum ,,,35,Casale San Donate??,
25,Sancti gordiani  /gurdiani in Fundum apicianum,29,,,,
26,sancti laurentii in Fundum Turris,29,,36,LL 187 mentions this church,
27,sancti gethulii in Fornicatam,29,,37,Very interesting. Churches built on Gauldus…. INVESTIGATE!! many refs to church referenced also in LL 215,"Fundum fornicatam cum traiecto suo, seu gualdum in integrum, in quo est aecclesia sancti gethulii et sancti benedicti, cum omnibus eis generaliter in integrum pertinentibus'"
28,sancti benedicti in fornicatam,29,,37,,
29,Sancti Petri in Fundum germanicianum,29,,38,Investigate,
30,Sancti petri in classicella,29,,39,Investigate,"Ex fundo classicella uncias tres, ubi est aecclesia sancti petri"
31,sancti stephani in rofìano/rofano,29,,,,
32,sancti uictorini in martiani,29,,,"(look at document 118 [1 I 8] in relation to this. looked like an interesting one, mentioned dota.","Ex fundo martiani uncias duas et dimidiam, ubi est aecclesia sancti uictorini"
33,sancti stephani in domiciano ,29,,,,"Ex fundo domiciano uncias quatuor, in quo est aecclesia sancti stephani"
32,"Sanctae 
Mariae in cisiniano",29,,,,
32,sanctae siluestri in cisiniano,29,,,,
33,Sancti petri in Lucaniano ,29,,,,"ex lucaniano unciam unam, ubi est aecclesia sancti petri"
34,Sancti Calistrati in cipiriano ,29,,,Church is also referenced in RF 194. large charter with mention of coloni investigate,INVESTIGATE FURTHER
35,sancti abundii in Fundum bebcianum ,29,,,interesting ref to titular priest in RF 41  (Investigate further) 'li.  707,
36,sanctae eugeniae in mallianum,29,,11,Investigate further!!!! many refs to this place!,
37,sanctae sabinae/sauinae in catoniano ,29,,,,
38,sanctae Mariae in turianum ,29,,,,
39,sancti sauini in follianum ,29,,,,
40,Sancti Antimi in seruiliano,29,,,Very interesting later doc regarding this church:  INVESTIGATE investigate DoCLMENTO 529.,
41,Sancti getturii in Lauariano,29,,IS this the same saint as 27??,a few refs possibly go back to .,
42,Sancti Laurentii in  arrianum/applarium,29,4,,Is this the same place? possibly.,
43,sancti ualentini in tulliano,,,,interesting Placita involving priests in this territory RF 31. INVESTIGATE!! ,
44,Sancti valentini in paternum ,,,,,
45,sancti victorini in uassiano,,,,,
46,sancti cessigli in cossiiano,,,,,
47,sancti petri in auriclano,,,,,
48,sancti angeli in siliglani,29,,,,
49,Sancti Angeli in uiterbo,30,,42,,"42.417230, 12.105916"
50,sanctae helenae in migniano,29,,,,
51,Sancti petri in  Anelano,29,,,,
52,Sancti Sebastiani in Pretoriolo,,,43,,
53,Sanctae Anatholiae in illianus,29,,44,,
54,sanctae uictoriae in Feclinulae,29,,,,
55,Sancti uictorini in Paterno,,,,,
56,Sanctae Sabinae in catoniano,29,,,,
60,Santa Maria in cisiniano,,,,,
61,Sancti Petri in lucaniano,,,,,
63,sancti calistrati.in cipriano,,,,,
64,sanctae agathes in Rieti,33,,,,
65,Sancti ualentini (In Viterbo?),"36,34(?), 37",,,,
66,sancti abundii  in Camerino,"48,49",,,,
67,sanctae Mariae in Turianum,29,,,,
68,sancti sauini in Follianum,29,,,,
69,"sancti 
anthimi in Serviliani",29,,,,
70,sancti savini in follianum,29,,,,
71,Sanctae Mariae in Turianum,29,,,,
72,Sancti Antimi in  seruiliano,29,,,,
73,Sancti Stephani near Rieti,"50,51",,"Rieti, Gualdus tanci,",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
