document id,Document Number,Year,Benefactor,benefactor ID,Granter,granter ID,object,Summary,Latin transcript,Notes,mentions coloni?,witnesses,Neighbours,description of holding,url,Churches mentioned,church ref,Locations mentioned,grant location  id,granter home id,Charter enacted location id
1,RF 309,873,Abbey of Farfa Abbot Iohannes,"1,2",Madelberto son of Adalbert,3,1,Madelberto son of Adalbert of the nation of the franks. Sells and transmits land to the monastery according to Salic Law situated in ‘ofida duas basilicas’,"In nomine Domini Dei Salvatoris nostri Ihesu Christi. Constai me madelbertum filium cuiusdam adelberti ex natione francorum, propria mea bonaque uoluntate uendidisse et tradidisse atque transfudisse per festucam et andilaginem et guasonem et ramos arborum, et inuestisse secundum nostram salicham legem tibi, iohannes uir uenerabilis abbas ex monasterio sanctae Mariae quod situm estin territorio sabinensi et loco qui nominatur acutianus, ad partem ipsius monasterii, idest terram iuris nostri quam habuimus in furcone, loco qui nominatur in ofide ad duas basilicas, petiam unam per mensuram modii unius in integrum, cum omnibus intra se habentibus. Positam secus terram grimualdi et mauri et luponis germanorum, et iuxta terram quae fuit cuiusdam mangonis, et iuxta semitam. Res ipsas exquisitas superius nominatas de iure meo iuri dominationis uestrae, iohannes abbas, ad partem ipsius monasterii uendidimus et tradidimus, atque transfundimus ad habendum et possidendum, et quicquid uobis et successoribus uestris ad partem ipsius monasterii oportuerit faciendum atque eligendum, et in omnibus libero perfruamini arbitrio. Vnde me suprascriptum madelbertum de praedictis rebus inomnibus exitum feci, et uobis per festucam guerpiui, et per andilaginem et guasonem et ramos arborum res ipsas superius comprehensas per ipsam uenditionem uobis tradidi, et inuestiui ad partem ipsius monasterii. Vnde receipe a te, suprascripte iohannes abbas, ad partem ipsus praetium pro ipsis suprascriptis rebus argenti solidos v. quod apud me habere profiteor. In ea uidelicet ratione ut si, quod futurum esse non credo, ego suprascriptus madelbertus aut ullus de haeredibus, uel prohaeredibus mels, aut aliqua extranea a me emissa persona, contra hanc cartulam uenditionis, quam ego spontanea mea uoluntate fieri et conscribi nel affirmare rogaui, uenire conati fuerimus, et eam infringere quaesierimus, et uobis uestrisque successoribus ad partem ipsius monasterii ab omni homine defensare noluerimus, tunc conferamus, uobis una cum distringente socio fisci, auri unciam unam, argenti pondera duo, et coacti exsoluamus et quod repetimus uendicare non ualeamus, et praesens uenditio atque traditio omni tempore firma et inuiolata permaneat cum stipulatione suppressa. Actum in amiterno, anno imperii domnj hludovici in christi nomine xxiiij"", vj die mensis februarii, per indictionem vj. Signum ^JÂ» manus suprascripti madeiberti qui hanc cartulam uenditionis seu traditionis fieri rogauit. Signum ^ manus frodeardi ex natione francorum. Signum manus salichonis ex natione francorum. Signum ^ 
manus madalini ex natione francorum. Signum ^ manus gueritonis ex natione 
francorum. Signum ^ manus aldefredi ex natione francorum. <^ Ego iohannes 
manu mea. 4jÂ» Ego romaldus manu mea. Ego romanus manu mea. Ego 
arseramus notarius scriptor huius cartulae post traditam compleui et dedi.",,,,,,https://archive.org/stream/ilregestodifarf1879greg_0#page/13/mode/2up,yes,,Furcona,14,,
2,RF 310,873,Iohannes Abbot of Farfa,"1,2",Racon of Fraupert of Carsule,4,"1,1,1,1,2",son oblated (4 witnesses) given with 4 measures of land in Carsule in the Land in Fraxineto,"IN Christi Dei omnipotentis nomine. Scriptum offersionis qualiter constat me raconem filium cuiusdam frauperti de carsule, bona uoluntate mea obtulisse filium meum nomine adelbertum in monasterium sanctae dei genitricis semperque uirginis Mariae sito sabinis et loco qui dicitur acutianus, ubi uir uenerabilis domniis iohannes abbas praeesse uidetur, coram testibus. Hi sunt: gualfredus et arduinus et leo germani filii cuiusdam ardegastri, hildeprandus filius cuiusdam leonis, leo filius gualonis, in quorum praesentia obtuli eum in aecclesia sancti angeli michaelis quae constructa est foris portam ciuitatis reatinae, ante ipsum altare, cum oblatione in manibus et inuolutum palla, et obtuli cum eo quatuor modia de terra in carsule, in loco qui dicitur parenti et in fraxineto. Quem nero optuli in manu anselmi diaconi et monachi, ut in ipso monasterio debeat esse diebus uitae suae, et monasticum habitum induere, et secundum regulam sancti benedicti uiuere et uitam finire. Quod uero scriptum offesionis scripsi ego gaiderisius notarius, anno domini hludouici imperii xxiiij. Mense maio, per indictionem vj. Actum in reate, mense et indictione suprascripUs. ^ Ego raco in hac olFersione a me facta manu mea. Ego arduinus manu mea. ^ Ego gualefridus manu mea. Â«JÂ» Ego hildeprandus manu mea. Signum 4jÂ» manus leonis testis. ^ Ego gaiderisius notarius scriptor huius cartulae ott'ersionis compleui et dedi.",Oblation took place in Church of St. Michael outside the city gates of Reiti. 4 measures o fland in Carsule in the ash woods in parenti (?),,,,,https://archive.org/stream/ilregestodifarf1879greg_0#page/14/mode/2up,yes ,,Carsule,2,,
3,RF 311,873,Iohannes Abbot of Farfa,"1,2 ",Adriano son of Gualdiberto,5,,"Adriano son of Guaideberto sells some
assets to the Monastery. Divides land in Puzalia between Farfa and ‘de monasterio domni Saluatoris'","IN NOMINE Domini Dei Salvatoris nostri Ihesu Christi. HLudouici diuina ordinante prouidentia imperatoris augusti, anno in dei nomine xxiiij"". Mense iulio, per indictionem vj. Constat me atrianum filium cuiusdam gualdeperti habitatorem in massa torana et loco qui dicitur talianus, bona uoluntate mea uendidisse et tradidisse a die praesend in monasterio sanctae dei genitricis semperque uirginis Mariae sito sabinis in loco qui dicitur acutianus, ubi uir uenerabilis domnus iohannes abbas praeesse uidetur, preisam nostram quam habuimus in puzalia, et terram caput tenentem in casale de paganeco, Pedem in ilio romanense. De una parte tenente terra de monasterio domni Saluatoris, De alia parte est terra suprascripti monasterii sanctae Mariae. Et est ipsa preisa de terra in loco qui dicitur ad riuum desertum, per designata loca, quam cum omnibus intra se hahentibus in ipso sancto monasterio uendidimus, et per praesens tradimus possidendum. Vnde nobis infra ipsa designata loca cum omnibus intra se habentibus nichil reseruauimus in potestate. De quibus recepi ego atrianus praetium pro ipsa preisa a parte ipsius monasterii in appraetiatum ualens argentum solidos xx, quod apud nos habere testamur. Quatinus ab hac die in uestra, donine iohannes abbas, uel suprascripti monasterii sit potestate faciendi de ipsa nostra uenditione in omnibus quaecumque uolueritis. Et si ego atrianus aut mei haeredes contra uos, iam diete domne iohannes, uel contra ipsum monasterium, de ipsa nostra uenditione causare aut retollere uel minuere quaesierimus, aut si ab alio homine minime defenderimus, dupla condicione et meliorata uobis subiaceamus de ipsa re de qua agitur, quia sic conuenit inter nos. Actum in nautona, mense et indictione suprascriptis. Signum manus atriani qui hanc cartulam fieri rogauit. X Ego sintarus manu mea. Ego odelprandus manu mea. ^ Ego questo manu mea. ^ Ego gaiderisius notarius conipleui et dedi. ","measure of land with ‘terram caput tenentem in casale de paganeco, Pedem in ilio romanense. ‘ ",,,,Casalae,https://archive.org/stream/ilregestodifarf1879greg_0#page/14/mode/2up,yes ,,Talianus (massa Torana) casale de paganeco Puzalia. Where is the monasterio Domni Salvatore?,4,3,
4,RF 312,874,Iohannes Abbot of Farfa,"1,2",Petronace son of Probus,6,4,Petronace son of Probus sells to the Monastery a piece of land located in Carsule.,"IN NOMINE Domini Dei Salvatoris nostri Ihesu Christi. HLudouici diuina ordinante prouidentia imperatoris augusti, anno in christi nomine xxv, Mense aprilis, per indictionem vij. Constat me petronacem filium cuiusdam probi, habitatorem in carsule, loco qui dicitur pelestrina, bona uoluntate mea uendi- disse et tradidisse a die praesenti in monasterio sanctae dei genitricis semperque uirginis Mariae sito sabinis in loco qui dicitur acutianus, ubi uir uenerabilis domnus iohannes humilis abbas praeesse uidetur, seu ad cunctam congregationem ipsius monasterii, terram nostram quam habuimus in carsule, in loco qui dicitur ibidem in carsule, Vnum caput tenentem in uia publica ubi dicitur ad illam areolam, Pedem tenentem et unum latus in congrego ardonis. De alia parte est congregum monasterii uestri; et est petia una per mensuram pedis pudici (i) modiola duo. Ipsam petiam terrae infra ipsa designata loca, cum omnibus intra se habentibus, uobis, domne iohannes abbas, et in suprascripto monasterio uestro, in integrum uendidimus, et per praesens tradidimus possidendum. Vnde nobis per designata loca nichil reseruauimus in potestate. Pro qua recepit ego qui supra petronax, praetium a uobis, domne iohannes, argenti mancosos duos, quod apud nos habere testamur. Quatinus ab hac die in uestra, seu successorum uestrorum, uel suprascripti monasterii permaneat potestate faciendi de ipsa terra, pro utilitate eiusdem monasterii uestri, in omnibus quaecumque uolueritis. Et si ego petronax, uel quicumque de haeredibus meis, contra uos seu successores uestros, uel contra ipsum monasterium, de ipsa terra causare aut retollere uel minuere quaesierimus, aut ab alio homine minime defenderimus, dupla condicione et meliorata uobis subiaceamus de ipsa re de qua agitur, quia inter nos sic conuenit. Actum in reate. Signum Â«JÂ» manus petronacis qui hanc cartulam fieri rogauit. ^ Ego rodepertus manu mea. ^ Ego pergo manu. ^ Ego benedictus manu mea. ijÂ» Ego gaiderisius notarius compleui et dedi. ",,,,,,https://archive.org/stream/ilregestodifarf1879greg_0#page/14/mode/2up,no,,Carsulae,2,,
5,RF 313,874,Iohannes Abbot of Farfa,"1,2",Oldepiando son of Maiorus,7,3,Oldepiando inhabitant of 'Octavo' sells to Monastery certain assets located in Toraniano farmhouse.,"IN NOMINE Domini Dei Sai.vatoris nostri Ihesu Christi. HLudouici diuina ordinante prouidentia imperatoris augusti, anno in christi nomine xxv, mense aprilis, per indictionem vij. Constai me odelprandum fiiium cuiusdam maioris habitatorem in octauo bona uoluntate mea uendidisse et tradidisse a die praesenti in monasterio sanctae dei genitricis semperque uirginis Mariae, sito sabinis in loco qui dicitur acutianus, ubi uir uenerabiiis domnus iohannes humiiis abbas praeesse uidetur, uineam nostram quam habernus in casale toraniano ubi dicitur ilice, petias duas. Vna petia est per mensuram pedis publici in longitudine pedes centum decem, Per latitudinem in uno capite pedes xl. In alio capite pedes cviij. De una parte est uinea quae fuit aliperti. Caput et unum latus tenet in uinea ipsius Mnonasterii uestri, alia petia est per mensuram pedis publici per longitudinem pedes cv. per latitudinem in uno capite pedes xxiij. In alio capite pedes xviij. Vnum caput tenet in uinea quae fuit aliperti. De duabus partibus uinea suprascripti Monasterii. Ipsae uineae pedem tenent in congrego suprascripti monasterii ad praedictam mensuram et infra ipsa designata loca, quas cum omnibus intra se habentibus uobis, domne iohannes abbas, et in suprascripto monasterio in integrum uendidimus et per praesens tradimus possidendas. Simul et uendidimus uobis et in suprascripto monasterio, omnem portionem meae substantiae ibidem in ilice, quantum michi a lobo per cartulam eucnit in integrum, cum casis, uineis, terris, siluis, pratis, pascuis et cultum uel incuhum, cum pomis, arboribus et omnia in omnibus, sicuti supra legitur, et ad ipsam integram substantiam nostram ibidem in ilice pertinet, uel pertinere debet, in integrum uobis uendidimus possidendam. Vnde nobis nichil reseruauimus in potestate. Pro quibus recepit ego qui supra odelprandus a uobis praetium argenti denariorum solidos xxx, quod apud nos habere testamur. Quatinus ab hac die in uestra, seu successorum uestrorum, uel suprascripti monasterii uestri, permaneat potestate faciendi pro utilitate ipsius monasterii de ipsa nostra uenditione, in omnibus quaecumque uolueritis. Et si ego odelprandus, uel quicumque de haeredibus meis, contra uos, seu successores uestros, uel suprascriptum monasterium, de ipsa nostra uenditione causare aut retoUere uel minuere quaesicrimus, aut ab alio homine minime defenderimus, dupla condicione et meliorata uobis subiaceamus in eodem loco de quo agitur, quia Inter nos talis fuit conuenientia. Actum in reate, mense et indictione suprascriptis. ^ Ego odelprandus in hac cartula a me facta manu mea. ^JÂ» Ego arduinus manu mea. ^ Ego adelbertus manu mea. Ego arno manu mea. ^ Ego gaiderisius notarius compleui et dedi. ","Interesting description of land and its produce including houses, Vines, Woods, acorns, Pastoral lands, Apples What does ‘diciturilice, petias duas’ ,mean?",,,,Casalae,https://archive.org/stream/ilregestodifarf1879greg_0#page/16/mode/2up,no,,"Octavo, Toraniano  (fundus Torano?)",,,
6,RF 314,875,Iohannes Abbot of Farfa,"1,2",Griselda widow of Maioriano,,,"Griselda widow of Maioriano, consenting on her son Aldo, to sell some land to the Monastery in the Furconiano territory, located suptus fontem antiguam.","IN NOMINE Domini Dei Salvatoris nostri Ihesu Christi. Hludouici diuina ordinante prouidentia imperatoris Augusti anno xxvi, et xxiij die mensis ianuarii, per indictionem viij. Constat me gradeldem filiam cuiusdam petri et relictam quae fui cuiusdam maioriani, nemine michi uiolentiam facientem, sed per consensum et uoluntatem aldonis filli mei, in cuius mundio ego sum, sana mente et spontanea nostra uoluntate, uendidisse et a presenti tradidisse in monasterio sanctae Mariae, quod situm est in territorio sabinensi, et loco ubi uocatur acutianus, et domno iohanni uenerabili abbati ipsius monasterii, terrae petiam unam per mensuram modiorum ij et quartarium in integrum, et cum omnibus intra se habentibus in territorio furconino ubi uocatur suptus fontem antiquam, quae michi a quondam petro genitore meo pertinet. Hoc est secus terram uestri monasteri de duabus partibus, et de uno latere iuxta terram romani, Vnum caput tenentem in terra romualdi. Pro qua praetium recepi a uobis, domne iohannes abbas, denariorum ci, quod apud me habere testor. In tali uero tenore, ut si quoquo tempore ego suprascripta venditrix, aut mei haeredes, contra uos, aut Successores uestros, uel contra ipsum monasterium, de ipsa terra causare quaesierimus, aut ab alio homine minime defenderimus, aliam talem terram in ipso suprascripto loco in duplum uobis persoluamus. Vnde per stabilitate uestra iohannem notarium scribendum rogauimus. Actum in furcone, mense et indictione suprascriptis. Signa ^ manuum gradeldis et aldonis filii eius uenditorum et traditorum, qui hanc cartulam uenditionis fieri rogauerunt. Ego auderadus manu mea. 4jÂ» Signum manus adelberti filii cuiusdam mainefredi testis. Signum <JÂ» manus iohannis 
filii suprascripti adelberti. Signum Â«JÂ» manus cuiusdam rodonis filii cuiusdam aidiperti testis. ^ Ego qui supra iohannes notarius conclusi et finiuj.gnum manus adelberti filii cuiusdam mainefredi testis. Signum <JÂ» manus iohannis 
filii suprascripti adelberti. Signum Â«JÂ» manus cuiusdam rodonis filii cuiusdam aidiperti testis. ^ Ego qui supra iohannes notarius conclusi et finiuj.",,,,,,preisam,,,,,,
7,RF 315,875,Iohannes Abbot of Farfa,"1,2",Toto mayor of the city of Rieti,,,"The Abbot John declares in a contract following Lombard law, gives land in. Totones to the  Monastery in exchange for other land.","IN NOMINE Domini nostri Ihesu Christi. HLudouici diuina ordinante prouidentia imperatoris augusti anno in christi nomine xxvj% In xij die mensis februarii, per indictionem viij. Constat me iohannem abbatem de monasterio sanctae dei genitricis semperque uirginis mariae sito sabinis in loco qui dicitur acutianus, per consensum et uoluntatem monachorum congregationis ipsius monasterii nostri consentientium, concambiasse tibi totoni filio maioris de ciuitate reatina, terram nostram quam habuimus intra ciuitatem reatinam, quae est iuris et proprietatis ipsius monasterii nostri, Petiolam unam per mensuram pedis publici, per longitudinem pedum Ixv, Per latitudinem in uno capite pedum xxv. Et in alio capite per latitudinem pedum xx. Ipsam petiolam terrae unum caput tenentem in terra quae fuit cuiusdam rimonis, quam ioseph filius eiusdem rimonis sintaro filio cuiusdam iohannis per cartulam donauit; et aliud caput tenentem in uia publica et in uia quae uadit ad aecclesiam sancii rufi, de una parte est illa casa gaiderisii notarli. De alia parte est uia publica quae uadit ante casam uestram ad praedictam mensuram, et infra ipsa designata loca cum omnibus intra se habentibus, tibi totoni in integrum cambiauimus possidendam, et fuit ipsum casalinum cum ipsa terrula quae ante ipsum casahnum est de quodam octeramo notarlo. Vnde in cambium recepi ego qui supra iohannes abbas, una cum monachorum congregatione eiusdem monasterii nostri ad partem ipsius monasterii nostri, terram uestram quam. habuisti in aquacani, in loco qui dicitur orgiale ad illam fossam, petiam unam per mensuram pedis publici per longitudinem pedum cxx, et per latitudinem in uno capite pedum ex, et in alio capite per latitudinem pedes xc"""". Vnum caput tenentem in uia publica et aliud caput in fiuuio turano. De una parte est terra teudiberti filii cuiusdam gisulfi, et de balberisibus, et de alia pairte est terra praedicti monasterii nostri, quae est de aecclesia sancti iacobi. Ipsam terram ad praedictam mensuram et infra ipsa designata loca, cum omnibus intra se habentibus, nobis iohanni abbati, ad partem ipsius monasterii nostri, in integrum in cambio reddidisti, et sicuti in lege nostra langobarda continetur, super ipsum cambium accesserunt et interfuerunt missi pontificis teuderadi uenerabilis aepiscopi, idest uir uenerabilis martinus presbiter, et a parte eiusdem monasterii nostri uir uenerabilis teuto presbiter et monachus et missus iudicis hildeprandus filius cuiusdam ursi, qui albericum gastaldium de sua praesentia transmisit, et tres uiri et idonei. Hi sunt adelbertus scabinus et notarius nec non et albericus filius cuiusdam adelfusi, et leutherius scabinus et nolarius ad ipsum cambium prouidendum. Et dum ipsi diiecti missi reuersi fuissent, renuntiauerunt nobis quod ipsum cambium duplum et triplum esset illa die, et melioratum, et in congrego ipsius monasterii, quod toto nobis iohanni abbati ad partem nostri monasterii dedit, quam ipsum quod toto a nobis recepit. Et haec commutatio legibus fieri poterat. Quatinus ab hac die firmum et stabile sit inter nos cambium nostrum ^ et nunquam a nobis ncque ab ullo successore nostro uobis totoni, aut haeredibus uestris, ipsum cambium contradicatur. Et si ego iohannes abbas, uel quicumque de successoribus nostris, contra uos de ipso 
causare, aut retollere^ uel minuere^ aut corrumpere quaesierimus, aut ab alio homine minime defenderimus^ uobis paenam coUigatam componamus aurei mancosos xc\ Et hoc cambium in sua constet firmitate, quia inter nos talis fuit con- 
uenientia, et sic nobis placuit. Iohannes humihs abbas in hoc cambio a nobis 
facto manu mea subscripsi. Christianus licet indignus presbiter et monachus ex iussione domni abbatis. ^ Johannes licet indignus presbiter et monachus manu mea. X Ego gudelprandus presbiter et monachus manu mea. Â«JÂ» Ego martinus presbiter et missus pontificis manu. X Ego leutherius notarius et scabinus interfui. X Ego albericus interfui. X Ego adelbertus scabinus interfui. Ego ioseph manu mea subscripsi.
 ",Yes. sancti iacobi. -Church of st. James (revisit this one.. interesting) Road on the way to ‘aecclesiam sancii rufi',,,,,https://archive.org/stream/ilregestodifarf1879greg_0#page/16/mode/2up,Yes. sancti iacobi. -Church of st. James (revisit this one.. interesting) Road on the way to ‘aecclesiam sancii rufi',,"Totones, Rieti",,,
8,RF 316,875,Iohannes Abbot of Farfa,"1,2",Audaldi son of Joseph ,,,Audaldi son of Joseph donates land to the monastery in Massa Torrana,"In nomine Domini Dei Salvatoris nostri Ihesu Christi. HLudouici diuina ordinante prouidentia imperatoris Augusti, anno in christi nomine xxvi"". In mense septembris, per indictionem viij. Constat me ioseph filium cuiusdam audualdi de ciuitate reatina, sana mente et integro uigentique Consilio, et bona spontaneaque ac propria uoluntate mea, donasse atque concessisse, et iudicasse pro animae meae remedio in monasterio sanctae dei genitricis semperque uirginis Mariae sito sabinis in loco qui dicitur acutianus, ubi uir uenerabilis domnus iohannes abbas praeesse uidetur, seu ad cunctam congregationem eius, Idest terram et uinejm nostram quam habuimus in massa torana, loco qui dicitur stahanus, inter uineam et terram petiam unam per mensuram in longitudine pedum xc et per latitudinem in uno capite pedum xx, et in alio capite pedum XV. De tribus partibus est congregum suprascripti monasterii. De una parte est terra ribbaldi. Ipsam petiam uineae et terrae ad praedictam mensuram et infra ipsa designata loca, cum omnibus intra se habentibus in ipso monasterio pro anima nostra donauimus et iudicauimus possidendam. Vnde nobis infra ipsa designata loca nichil reseruauimus in potestate, sed pro stabilitale ipsius monasterii, et ibi ipsum donum confirmando, recepi ego ioseph pro ipsa donatione a uobis,iam diete domnus iohannes abbas, launigilt caballum unum, quem apud nos habere testamur. Quatinus ab hac die firma et stabilis sit ipsa nostra donatio in suprascripto monasterio. Et nunquam a nobis neque ab ullo haerede nostro aliquando contradicatur, sed semper in ipso monasterio firmum et stabile permaneat donum nostrum sicuti superius scriptum est, quia sic fuit mea uoluntas. Actum in reate. X Ego ioseph in hac cartula a me facta manu mea. X Ego hildeprandus manu mea. Ego adelbertus manu mea. X Ego toto manu mea.Ego gaiderisius notarius post testium roboratione compleui et dedj.",,,,,,,no,,Massa Torrano,,,
9,RF 317,876,Iohannes Abbot of Farfa,"1,2",Hildeprandumand Godiprandm (brothers),,,Hildeprandumand Godiprandm (brothers) Donate villa named paganecum to the monastery.,"IN NOMINE Domini Dei Salvatoris nostri Ihesu Christi. Karolos domnj hludouici imperatoris filii, diuina ordinante prouidentia imperatoris augusti, anno in dei nomine imperii eius in hitalia primo, mense martii, per indictionem viiij. Constat nos hildeprandum et godiprandum germanos, filios cuiusdam iohannis habitatores de massa torana, uilla quae uocatur paganecum, sana mente et integro Consilio, bona et spontanea uoluntate, uendidisse et a die praesenti tradidisse uobis,domne iohannes abbas ex monasterio dei genitricis semperque uirginis Mariae, sito sabinis in loco qui uocatur acutianus, ad partem eiusdem monasterii. Idest uineam nostram, quam habuimus in praedicto casale paganeco, in loco qui uocatur aecclesiae, Petiam unam per mensuram, ipsa uinea, pedis publici de tremissis iiij. Caput in horto romualdi serui sancii heleutherii, Pedem in riuo, De uno latere uinea atriani et germanorum eius, De alio latere luponis barbani nostri. Ipsam petiam uineae infra ipsa designata loca uobis in integrum uendidimus possidendam, cum omnibus intra se habentibus, ad praetium placitum et definitum et in praesenti 
acceptum, bouem j. grani modia iij*. quod apud nos habere testamur. Quatinus ab hac die in uestra uel successorum uestrorum ad partem ipsius monasterii permaneat potestate, de ipsa uinea faciendo in omnibus quaecumque uolueritis. Et si nos hildeprandus et godiprandus, aut nostri haeredes contra uos, domne iohannes abbas, aut successores uestros, uel ipsum monasterium, de ipsa uinea causare aut minuere praesumpserimus, aut ab alio homine minime defenderimus, dupla condicione et meliorata uobis subiaceamus, in eodem loco de quo agitur. Actum in massa nautona, mense et indictione suprascriptis. Signa Â«Jt manuum hildeprandi et godiprandi, qui hanc cartulam fieri rogauerunt. ^ Ego gaidemarius manu mea. .X. Ego isengerius manu mea. .X. Ego gaiderisius manu mea. .X. Ego gaidemannus notarius post testium roborationem compleui et dedi.",in loco qui uocatur aecclesiae’ Is this where the transaction took place  or the vineyard near the church? Mention of the  Caput in horto ‘romualdi serui sancii heleutherii’ Romuladi slave of St. Helen?,,,,,,,,"Massa Torrano, paganecum",,,
10,RF 318,875,Iohannes Abbot of Farfa,"1,2",Charles The Bald,,,Charles the Bald confirms Farfa’s existing territory and privileges ,"IN nomine Sanctae et Indiuiduae Trinitatis. Karolus eiusdem dei omnipotentis gratia imperator augustus. Cum petitionibus seruorum dei iustis acrationabilibus diuini cultus amore fauemus, et bis oportuna beneficia largimur, praemium nobis aeternae remunerationis a deo rependi non diffidimus. Ideo notum fieri uolumus omnibus fidelibus sanctae dei aecclesiae quia uir uenerabilis iohannes abbas monasterii sanctae dei genitricis semperque uirginis Mariae, quod in hitalia situm est in loco qui dicitur acutianus, ad nostram ueniens praesentiam, ostendit nobis praeceptum aui nostri Karoli imperatoris, et domni ac genitoris nostri hludouici piissimi augusti, et hlotharii fratris nostri, nec non et hludouici nepotis nostri olim imperatoris, in quibus continebatur quomodo ipsi et antecessores eorum, liutprandus scilicet, ratgisus, haistulphus ac desiderius reges langobardorum, praedictum monasterium propter diuinum amorem et reuerentiam sanctae dei genitricis Mariae, semper sub sua tuitione ac defensione tenuissent. ob firmitatem rei postulauit praedictus abbas, ut eorundem imperatorum praecepta nostra auctoritate confirmaremus, et immunitatis praeceptum monasterio suo dare iuberemus. Cuius petitioni propter amorem dei libenter acquieuimus, et sicuti postulauit, in omnibus concedendum ita atque confirmandum decreuimus. Quapropter praecipientes iubemus ut nuUus fidelium nostrorum, uel missi discurrentes, aut quilibet ex iudiciarÃ¬a potestate, in aecclesias, uel cellulas, aut loca, uillas, curtes, uelagros, campos, seu reliquas possessiones memorati uenerabilis monasterii, quas moderno tempore tam in langobardia quam in romania, siue in tuscia et in ducatu spoletano, seu in quibuslibet aliis locis possidet, uel quas deinceps ex quorumlibet fidelium datione acquisierit ac possederit, ad causas audiendaSj uel fredo seu tributa undecumque exigenda, aut mansiones uel paratas faciendas^ uel fideiussores tollendos, aut homines eius monasterii tam ingenuos quam seruos, libellarios, siue claericos uel cartulatos aut offertos super 
terrarn ipsius 'monasterii commanentes, distringendos, uel ad publicas excubias compellendas, aut uUas reddibitiones, uel quaslibet occasiones requirendas, nostris uel futuris temporibus ingredi audeat, uel ea quae supra memorata sunt, penitus tacere praesumat. Confirmamus etiam eidem monasterio priuilegia pontificum, simul cum omnibus rebus sibi collatis a diuersis hominibus, commutationes, donationes otfersiones, seu et omnia quae per instrumenta cartarum ad idem peruenerunt monasterium cum omnibus ad se pertinentibus. Qui uero de bis quae fieri prohibuimus temere aliquid praesumpserit, infidelitatis eum noxa omnimodo 
subdi censemus. Unde monemus fidelitatem uestram, ut cum iam fatus abbas 
uel monachi et aduocatus eiusdem monasterii in uestra ministeria iustitias requirendas uenerint, dux aut comes qui prÃ² tempore fuerint, in quorum ducatu uel comitatu praefatum cocnobium aliquid possidere dinoscitur, defensores atque adiutores existant in omnibus, tam praefato abbati quam et successoribus eius, ut nuUius potestatis personam, uim aut inuasionem alic[uam inferre permittant in bis quae ad memoratam aecclesiam pertinent. Si uero de qualibet causa a parte ipsius monasterii orta fuerit intentio, non per uiles personas, sed per nobiliores homines et uaeraciores, sicuti ad partem nostrani rei uaeritas inquiratur. Nullamque denique mallaturam ab aduocato ipsius monasterii penitus requiratur, nec etiam bannum nostrum prÃ² qualibet causa a parte memorati monasterii aliquo modo exigatur. Sed liceat memorato abbati et successoribus eius, res et possessiones pracdicti monasterii sub immunitatis nostrae defensione quieto ordine posidere. Si quis uero ausu temerario contra hanc nostrae auctoritatis iussionem uenire praesumpserit, et eorum quippiam, quae fieri prohibuimus, contra praedictum monasterium tacere temptauerit, sciat se, secundum constitutionem domni et genitoris nostri hludouici imperatoris ac nostrani, sex centorum solidorum summam ad partem monasterii esse multandum. De famulis eiusdem loci et de omnibus rebus praecipimus ita. De teloneis uaero mercatorum, et pontum et decimas, ad portam monasterii dare iubemus. Praestarias uero et commutationes iniuste factas uolumus irritas esse, absque poena ligatae solutionis. Offertos uero eiusdem monasterii nolumus in saeculo uagari, sed, ubicunque inuenti fuerint, licentiam habeat abbas qui pro tempore fuerit, aut monachi, eos ad monasteria reuocare; si opus fuerit dux aut comes qui pro tempore fuerint, eos ad monasteria reuerti faciant. Quicquid uero de praedicti monasterii possessione fiscus noster acquirere poterat, totum nos pro aeterna remuneratione memorato monasterio concedimus, ut in ahmonia pauperum et monachorum ibidem deo famulantium, nostris futurisque temporibus proficiat in augmentis. Quatenus memoratos seruos dei liberius pro nobis et pro stabilitate imperii nostri, domini clementiam exorare delectet. Et cum abbas ab hoc seculo migrauerit, eligant inter se de ipso monasterio ""R quemcumque utiliorem inuenerint. Et ut haec auctoritas firmior habeatur, ac per futura tempora melius conseruetur, manu propria supter eam firmauimus, atque anuli nostri impressione assignariiussimus. Signum Karoli gloriosissimi imperatoris. Avdacher notarius ad uiccm gauzleni recognouit et subscripsit. Datum vij. Kalendas ianuarii anno xxxvj. regni domnj Karoli in francia. Et in successione hlotharij vj. Et imperij eius j"". Actum in sancto petro, Indictione viiij. In dei NOMINE. Feliciter amen.
",,,,,,https://archive.org/stream/ilregestodifarf1879greg_0#page/18/mode/2up,,,,,,
