person_id,name,desc,female,relations,Neighbours,relation_id[],relation_id[],relation_id[],associated_location,notes
1,Farfa Abbey,,,,,,,,,
2,Iohannes Abbot of Farfa,,,,,,,,,Abbot
3,Madelberto son of Adalbert,,,,,,,,,
4,Racones son of  Fraupertus of carsula (Raco),,,,,,,,,
5,Adriano son of Gualdiberto,,,,,,,,,
6,Petronace son of Probus,,,,,,,,,
7,Oldepiando son of Maiorus,,,,,,,,28,
8,Spoletanus clericus son of  (mansionis?) monachi,,,,,,,,,clericus
9,"Giordanus, Abbot of Farfa",Abbot,,,,,,,,Abbot
,,,,,,,,,,
10,Teudipertus Gastaldi de cciculis,,,,,,,,,Gastaldus
11,Abbot Ingoaldus,Abbot of Farfa,,,,,,,,Abbot of Farfa
12,Teuphanius son of gaitarij ,,,,,,,,,
13,Ursus son of Grasolphus,,,,,,,,,Ursus Deacon son of Grasolphus sculdahis (comital official) of Ueterbi
14,Gaidepertus  son of Godonis,,,,,,,,,
15,Palmbus priest,,,Son Iohannes (also priest?) and  wife Liperge,,,,,,
16,Lazare Deacon,,,,,,,,,
17,Scampertus son of Hildeprandi,,,,,,,,,
18,"Heline (mother of Scampertus, wife of Hildeprandi?)",,f,,,,,,,
19,,,,,,,,,,Abbot of Farfa
20,Iohannes son of Teudatus, Sculdasio of Spoleto,,(donates land of late brother and sister to Abbey) ,,21,22,,,
21,Leo brother of Iohannes and Tudela,,,Brother Leo and sister Tudela,,20,22,,,mentioned in doc. 239 Scahaldus 
22,Tudela sister of Iohannes,,f,,,20,21,,,
23,Abbot Peter ,Abbot,,Abbot of Farfa,,,,,,
24,Gualderamus son of Alderadi of Furcone,,,,,,,,14,
25, Grimaldus diaconus filius Ursi,deacon,,,,,,,,
26,Teophanius filius Audaldi,,,,,,,,,
27,"Guidiperte, filium Ursi de furcone",,,possible brother to 25?,,25,,,14,
28, Lupo filius Guinonis ,,,,,,,,8,
29,Pertefusus filius Iohannis,,,,,,,,,
30,Rose mother of Pertefusus (wife of Iohannis?),,f,,,29,,,,
31, Ildo filius Gildeperti,,,,,,,,"8,18",
32, Iohannes presbiter filius Rodepaldi de furcone ,presbiter,,,,,,,14,
33,Gaiprandus filius Gaiponis,,,,,,,,,
32,Aldo bassallus,,,possible tenant of Iohannes 32,,,,,,
33,benedictum diaconum,deacon,,,,34,,,,
34,Teuderadum brother of Benedictus,,,,,33,,,,
35,Abbot Fulcualdo,Abbot of Farfa,,,,,,,,
36,Lupo Duke of Spoleto,,,,,,,,,
37,Racipertus filius Frauperti,,,4,,,,,,
38,Iohnannes Presbiter filius Petri habitator Masse Torane.,,,44,,39,,,8,
39,Bona (?),Sanctimonialis Femine (nun),F,,,38,,,,
40,"Anselmo, Abbot of Farfa",Abbot,,,,,,,,
41,Formosa son of Albini  (wife of Stephanus),,f?,,,42,43,,,
42,Stephanus,Stephanus,,,,41,,,,
43,Grimaldus clericius, idest grimualdi clerici et albuini et uenerii et albini,,,,41,42,,"26,8",
44,Petri Presbiter,son of Iohannes of Massa Torano,,,,38,,,8,
45, Lupo filii Teuprandi habitatoris in Bagiano ,,,,,46,,,,
46,Hildeprandus filii Teuprandi habitatoris in Bagiano ,,,,,45,,,,
47,Lupardus filius Luponis ,,,,,48,49,50,2,
48,Hilderico fillius Lupardus,,,,,47,49,50,,
49,Acimnundo fillius Lupardus,,,,,47,48,50,,
50,Teusperto fillius Lupardus,,,,,47,48,49,,
51, Petrum filium Marcellini ,colonus,,,,,,,,
52,godipertus presbiter filius Iohannis habitans in massa Ciculana,priest,,,,,,,,
53,Hildericus filius bonouse,,,,,,,,,
54,Hilderic Abbot of Farfa,Abbot of Farfa,,,,,,,,
55,Teuprandus filii petri habitatores in massa torana,,,56,,56,,,"8,27",
56,Traso filii cuiusdam petri habitatores in massa torana,,,55,,55,,,"8,27",
57,"Scampertus, filius raciperti, habitator in massa torana",,,,,,,,"8,27",
58,causarium filium marciliani ,,,,,,,,8,
59,Sichardus Abbot of Farfa,,,,,,,,,
60,Probatus son of Ursi,,,,,61,,,,
61,Picco sonf of Ursi,,,,,60,,,,
62, Theodorum filius  cunctarii,vir devotus,,,,65,,,,
63,Balano abbot of Farfa,,,,,,,,,
64,occliauia  presbyter, presbyter,,,,,,,,
65,cunctarius  presbyter,presbyter,,,,62,,,,
66,guinelapus sculdahis,Sculdahis,,,,,,,,
67,stephania,,f,wife of guinelapus ,,66,,,,
68,Felice,coloni,,,,,,,,
69,Audolfus son of Hildericus.,See Costambeys p. 241,,,,70,71,,,
70,Hildericus,became cleric at Farfa,,,,69,71,,,
71, guttae,Mother of Audolfus ,f,,,69 70,,,,
72,Lupo filius uitalis,,,,,73,,,,
73,Benedictus filius uitalis,Notary,,,,72,,,,
74,Lamperti filuus uitalis,Presbiteri,,,,,,,,
75,gualfredum filius nustiolae,,,,,,,,,
76,Agipertum filius nustiolae,,,,,,,,,
77,pertonem filius nustiolae,,,,,,,,,
78,cuniprandus filius guiliprandi,,,78,,,,,,
79,Lupo fillius guiliprandi,,,79,,,,,,
80,Rodoricus/rodopertus filius halarici ,,,"82,83",84,,,,,see Costambeys p. 108
81,Benedictus Abbot of Father,Abbot of Farfa,,,,,,,,
82, Fruaperto fillus Rodoricus,Son of Rodoricus,,"80,83",,,,,,
83,Gualetrude ,wife of Rodoricus,f,80,,,,,,
84,]Frauperto /Frauperto,neighbour of St. Stepanus mentioned by Rodoricus (80) above. http://www.charlemagneseurope.ac.uk/browse/agents/7812/,,,80,,,,,
85,Helinae ancillae dei,"Nun, Of the Hilderici Family. See Costambeys. p.237. Very interesting. Investigate further. http://www.charlemagneseurope.ac.uk/browse/agents/7817/  Same Heline as person 18??",f,,"80,84",,,,,
86,massiolus filius caluuli,Owner of woods mentioned in RF 20 http://www.charlemagneseurope.ac.uk/browse/agents/7815/ ,,,"85,84,80",,,,,
87, Guisperga ,Ancillia Dei who receives land and church of Sancti Laurentii,f,,,69,70,,,
88,,,,,,,,,,
