person_id,name,relation_id[],relation_id[],relation_id[],relation_id[],relation_id[],Neighbours[],Neighbours[],Neighbours[],Neighbours[],Neighbours[]
1,Farfa Abbey,,,,,,,,,,
2,Iohannes Abbot of Farfa,,,,,,,,,,
3,Madelberto son of Adalbert,,,,,,,,,,
4,Racones son of  Fraupertus of carsula (Raco),,,,,,,,,,
5,Adriano son of Gualdiberto,,,,,,,,,,
6,Petronace son of Probus,,,,,,,,,,
7,Oldepiando son of Maiorus,,,,,,,,,,
8,Spoletanus clericus son of  (mansionis?) monachi,,,,,,,,,,
9,"Giordanus, Abbot of Farfa",,,,,,,,,,
,,,,,,,,,,,
10,Teudipertus Gastaldi de cciculis,,,,,,,,,,
11,Abbot Ingoaldus,,,,,,,,,,
12,Teuphanius son of gaitarij ,,,,,,,,,,
13,Ursus son of Grasolphus,,,,,,,,,,
14,Gaidepertus  son of Godonis,,,,,,,,,,
15,Palmbus priest,,,,,,,,,,
16,Lazare Deacon,,,,,,,,,,
17,Scampertus son of Hildeprandi,,,,,,,,,,
18,"Heline (mother of Scampertus, wife of Hildeprandi?)",,,,,,,,,,
19,,,,,,,,,,,
20,Iohannes son of Teudatus,21,22,,,,,,,,
21,Leo brother of Iohannes and Tudela,20,22,,,,,,,,
22,Tudela sister of Iohannes,20,21,,,,,,,,
23,Abbot Peter ,,,,,,,,,,
24,Gualderamus son of Alderadi of Furcone,,,,,,,,,,
25, Grimaldus diaconus filius Ursi,,,,,,,,,,
26,Teophanius filius Audaldi,,,,,,,,,,
27,"Guidiperte, filium Ursi de furcone",25,,,,,,,,,
28, Lupo filius Guinonis ,,,,,,,,,,
29,Pertefusus filius Iohannis,,,,,,,,,,
30,Rose mother of Pertefusus (wife of Iohannis?),29,,,,,,,,,
31, Ildo filius Gildeperti,,,,,,,,,,
32, Iohannes presbiter filius Rodepaldi de furcone ,,,,,,,,,,
33,Gaiprandus filius Gaiponis,,,,,,,,,,
32,Aldo bassallus,,,,,,,,,,
33,benedictum diaconum,34,,,,,,,,,
34,Teuderadum brother of Benedictus,33,,,,,,,,,
35,Abbot Fulcualdo,,,,,,,,,,
36,Lupo Duke of Spoleto,,,,,,,,,,
37,Racipertus filius Frauperti,,,,,,,,,,
38,Iohnannes Presbiter filius Petri habitator Masse Torane.,39,,,,,,,,,
39,Bona (?),38,,,,,,,,,
40,"Anselmo, Abbot of Farfa",,,,,,,,,,
41,Formosa son of Albini  (wife of Stephanus),42,43,,,,,,,,
42,Stephanus,41,,,,,,,,,
43,Grimaldus clericius,41,42,,,,,,,,
44,Petri Presbiter,38,,,,,,,,,
45, Lupo filii Teuprandi habitatoris in Bagiano ,46,,,,,,,,,
46,Hildeprandus filii Teuprandi habitatoris in Bagiano ,45,,,,,,,,,
47,Lupardus filius Luponis ,48,49,50,,,,,,,
48,Hilderico fillius Lupardus,47,49,50,,,,,,,
49,Acimnundo fillius Lupardus,47,48,50,,,,,,,
50,Teusperto fillius Lupardus,47,48,49,,,,,,,
51, Petrum filium Marcellini ,,,,,,,,,,
52,godipertus presbiter filius Iohannis habitans in massa Ciculana,,,,,,,,,,
53,Hildericus filius bonouse,,,,,,,,,,
54,Hilderic Abbot of Farfa,,,,,,,,,,
55,Teuprandus filii petri habitatores in massa torana,56,,,,,,,,,
56,Traso filii cuiusdam petri habitatores in massa torana,55,,,,,,,,,
57,"Scampertus, filius raciperti, habitator in massa torana",,,,,,,,,,
58,causarium filium marciliani ,,,,,,,,,,
59,Sichardus Abbot of Farfa,,,,,,,,,,
60,Probatus son of Ursi,61,88,,,,,,,,
61,Picco sonf of Ursi,60,88,,,,,,,,
62, Theodorum filius  cunctarii,65,,,,,,,,,
63,Balano abbot of Farfa,,,,,,,,,,
64,occliauia  presbytera,62,,,,,,,,,
65,cunctarius  presbyter,62,,,,,,,,,
66,guinelapus sculdahis,,,,,,,,,,
67,stephania,66,,,,,,,,,
68,Felice,,,,,,,,,,
69,Audolfus son of Hildericus.,70,71,,,,,,,,
70,Hildericus  fillius Audolfus,69,71,,,,,,,,
71, guttae,69 70,,,,,,,,,
72,Lupo filius uitalis,73,,,,,,,,,
73,Benedictus filius uitalis,72,,,,,,,,,
74,Lamperti filuus uitalis,,,,,,,,,,
75,gualfredum filius nustiolae,,,,,,,,,,
76,Agipertum filius nustiolae,,,,,,,,,,
77,pertonem filius nustiolae,,,,,,,,,,
78,cuniprandus filius guiliprandi,,,,,,,,,,
79,Lupo fillius guiliprandi,,,,,,,,,,
80,Rodoricus/rodopertus filius halarici ,,,,,,84,,,,
81,Benedictus Abbot of Father,,,,,,,,,,
82, Fruaperto fillus Rodoricus,,,,,,,,,,
83,Gualetrude ,,,,,,,,,,
84,Frauperto /Frauperto,,,,,,80,,,,
85,Helinae ancillae dei,,,,,,80,84,,,
86,massiolus filius caluuli,,,,,,85,84,80,,
87, Guisperga ,69,70,,,,,,,,
88,Ursus of the Pandoni Family ,,,,,,,,,,
89,Pando ,,,,,,,,,,
90,Santari filium Luteradi,,,,,,91,,,,
91,Hilderic Gastaldi ,,,,,,90,,,,
92,Urso filo Raconis ,,,,,,,,,,
93,Gisulphi,,,,,,,,,,
94,lupone archiporcario,,,,,,,,,,
95,Iohannis son of Peregrinuli,,,,,,,,,,
96, Aliperti fiiii cuiusdam raconi uiri deuoti,,,,,,,,,,
97,Abbot Altperto,,,,,,,,,,
98, aribona,,,,,,,,,,
99,Hermelinda ,,,,,,,,,,
100,"Teudiperti actionarii de ciculi,",,,,,,,,,,
101, petrus fillius cuiusdam Luceradi,,,,,,,,,,
102,Beiraldus filius cuiusam Honoris,,,,,,,,,,
103,"Leonis Sanctissimi 
aepiscopi ciuitatis castri uiterbii",,,,,,,,,,
104,marini presbiteri tituli sancti gratiliani,,,,,,,,,,
105,imitanconis diaconi,,,,,,,,,,
106,antonii presbiteri,,,,,,,,,,
107,rinculi presbiteri tituli sancti abundii,,,,,,,,,,
108,Aimonis of uitbeii,,,,,,,,,,
109,Petro filius Aimonis  //Petronis of Vico quintiano  same peron????,,,,,,,,,,
110,petrus Archipresbiter,,,,,,,,,,
112,minconis biscarionis curtis regiae uiterbensis uiri deuoti,,,,,,,,,,
113,Leoniperti procuratoris ,,,,,,,,,,
114,tinca locipositus castri uiterbii,,,,,,,,,,
115,hermepertus ,,,,,,,,,,
116,Causio,,,,,,,,,,
117,Iohannis Notarius,,,,,,,,,,
118,Gayro,,,,,,,,,,
119,racho vir venerabilis presbiter manu mea,,,,,,,,,,
120,iordanis notarius,,,,,,,,,,
121, andreae fili cuiusdam bonifacii ,,,,,,,,,,
122,"grimualdi filli cuiusdam 
adoaldi uiri denoti ",,,,,,,,,,
123,pillonis filiis cuiusdam aricausi,,,,,,,,,,
124,gualfredus,,,,,,,,,,
125,aliperti fiiii raconi uiri deuoti ,,,,,,,,,,
126,Radualdus,,,,,,,,,,
127, iuguli uiri honesti ,,,,,,,,,,
128,Teudualdus,,,,,,,,,,
129,"Antipertus 
",,,,,,,,,,
130,Gualipertus manu mea,,,,,,,,,,
131,agiprandi filli cuiusdam teusprandi,,,,,,,,,,
132,liminosus,,,,,,,,,,
133,pintiolum filium cuiusdam minioli,,,,,,,,,,
134,mazonis gualdimanni de uiterbio uiri denoti testis.,,,,,,,,,,
135,agifredi de auenula,,,,,,,,,,
136,Ego rachipertus primicerius me testem subscripsi. ,,,,,,,,,,
137,vnualdus,,,,,,,,,,
138,gisiperti de uico flauiano uiri deuoti,,,,,,,,,,
139,"Ego occinius presbiter et notarius hanc cartulam scripsi,",,,,,,,,,,
